run,arch,sampling,held_out,seed,epochs,batch_size,learning_rate,dataset_sha256,git_commit,git_dirty,device,wall_clock_seconds
powerlaw__geo-axial__holdout-hyperbolic__seed-04,powerlaw,geo-axial,hyperbolic,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.1580392094329
powerlaw__geo-axial__holdout-sinusoidal__seed-00,powerlaw,geo-axial,sinusoidal,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,17.890314208343625
powerlaw__geo-axial__holdout-sinusoidal__seed-01,powerlaw,geo-axial,sinusoidal,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,17.957652458921075
powerlaw__geo-axial__holdout-sinusoidal__seed-02,powerlaw,geo-axial,sinusoidal,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,17.836963665671647
powerlaw__geo-axial__holdout-sinusoidal__seed-03,powerlaw,geo-axial,sinusoidal,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,17.88670275080949
powerlaw__geo-axial__holdout-sinusoidal__seed-04,powerlaw,geo-axial,sinusoidal,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,17.96700579021126
powerlaw__geo-axial__holdout-stenosed__seed-00,powerlaw,geo-axial,stenosed,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.2713576676324
powerlaw__geo-axial__holdout-stenosed__seed-01,powerlaw,geo-axial,stenosed,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.085334707982838
powerlaw__geo-axial__holdout-stenosed__seed-02,powerlaw,geo-axial,stenosed,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.248686124570668
powerlaw__geo-axial__holdout-stenosed__seed-03,powerlaw,geo-axial,stenosed,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.184311375021935
powerlaw__geo-axial__holdout-stenosed__seed-04,powerlaw,geo-axial,stenosed,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.268452124670148
powerlaw__geo-axial__holdout-straight__seed-00,powerlaw,geo-axial,straight,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.63764312490821
powerlaw__geo-axial__holdout-straight__seed-01,powerlaw,geo-axial,straight,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.095235540531576
powerlaw__geo-axial__holdout-straight__seed-02,powerlaw,geo-axial,straight,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.08084641676396
powerlaw__geo-axial__holdout-straight__seed-03,powerlaw,geo-axial,straight,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.67886787466705
powerlaw__geo-axial__holdout-straight__seed-04,powerlaw,geo-axial,straight,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.29519550036639
powerlaw__geo-wallstretched__holdout-expanded__seed-00,powerlaw,geo-wallstretched,expanded,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.641806250438094
